module           : False
lamda            : 256
regularize_to    : other
attack_to        : other
loss_type        : sim
advtrain_type    : Rep
train_type       : contrastive
lr               : 0.1
lr_multiplier    : 15.0
decay            : 1e-06
dataset          : cifar-10
load_checkpoint  : ckpt_200epochs.t7
resume           : True
model            : ResNet18
name             : Run3
seed             : 0
batch_size       : 256
epoch            : 101
color_jitter_strength : 0.5
temperature      : 0.5
local_rank       : 0
ngpu             : 1
min              : 0.0
max              : 1.0
attack_type      : linf
epsilon          : 0.0314
alpha            : 0.007
k                : 7
random_start     : True
==> Preparing data..
Downloading https://www.cs.toronto.edu/~kriz/cifar-10-python.tar.gz to ./Data/cifar-10-python.tar.gz
Extracting ./Data/cifar-10-python.tar.gz to ./Data
Files already downloaded and verified
==> Building model..
torch.Size([1, 512])
ResNet18 is loading ...
Representation attack info ...
Rep_attack_ep_0.0314_alpha_0.007_min_val_0.0_max_val_1.0_max_iters_7_type_linf_randomstart_True
Using CUDA..
Training info...
results/log_Run3Rep_attack_ep_0.0314_alpha_0.007_min_val_0.0_max_val_1.0_max_iters_7_type_linf_randomstart_Truecontrastive_ResNet18_cifar-10_b256_nGPU1_l256_0
Run3Rep_attack_ep_0.0314_alpha_0.007_min_val_0.0_max_val_1.0_max_iters_7_type_linf_randomstart_Truecontrastive_ResNet18_cifar-10_b256_nGPU1_l256

Epoch: 0
 [====>.................................................................................]  Step: 1s837ms | Tot: 20s237ms | Loss: 10.527 | SimLoss: 10.507 | Adv: 0.02 12/196 
 [=====>................................................................................]  Step: 1s838ms | Tot: 22s75ms | Loss: 10.535 | SimLoss: 10.515 | Adv: 0.02 13/196 
 [=====>................................................................................]  Step: 1s835ms | Tot: 23s911ms | Loss: 10.531 | SimLoss: 10.511 | Adv: 0.02 14/196 
 [======>...............................................................................]  Step: 1s837ms | Tot: 25s748ms | Loss: 10.530 | SimLoss: 10.510 | Adv: 0.02 15/196 
 [======>...............................................................................]  Step: 1s835ms | Tot: 27s584ms | Loss: 10.531 | SimLoss: 10.511 | Adv: 0.02 16/196 
 [=======>..............................................................................]  Step: 1s834ms | Tot: 29s418ms | Loss: 10.529 | SimLoss: 10.509 | Adv: 0.02 17/196 
 [=======>..............................................................................]  Step: 1s834ms | Tot: 31s252ms | Loss: 10.527 | SimLoss: 10.507 | Adv: 0.02 18/196 
 [=======>..............................................................................]  Step: 1s832ms | Tot: 33s85ms | Loss: 10.532 | SimLoss: 10.512 | Adv: 0.02 19/196 
 [========>.............................................................................]  Step: 1s833ms | Tot: 34s919ms | Loss: 10.531 | SimLoss: 10.511 | Adv: 0.02 20/196 
 [========>.............................................................................]  Step: 1s833ms | Tot: 36s752ms | Loss: 10.532 | SimLoss: 10.511 | Adv: 0.02 21/196 
 [=========>............................................................................]  Step: 1s834ms | Tot: 38s587ms | Loss: 10.534 | SimLoss: 10.514 | Adv: 0.02 22/196 
 [=========>............................................................................]  Step: 1s835ms | Tot: 40s423ms | Loss: 10.536 | SimLoss: 10.515 | Adv: 0.02 23/196 
 [==========>...........................................................................]  Step: 1s837ms | Tot: 42s261ms | Loss: 10.538 | SimLoss: 10.517 | Adv: 0.02 24/196 
 [==========>...........................................................................]  Step: 1s837ms | Tot: 44s98ms | Loss: 10.537 | SimLoss: 10.517 | Adv: 0.02 25/196 
 [==========>...........................................................................]  Step: 1s836ms | Tot: 45s934ms | Loss: 10.539 | SimLoss: 10.519 | Adv: 0.02 26/196 
 [===========>..........................................................................]  Step: 1s838ms | Tot: 47s773ms | Loss: 10.540 | SimLoss: 10.520 | Adv: 0.02 27/196 
